SMILES,CB1
O=C(NC12CC3CC(CC(C3)C1)C2)c4c[nH]c5ccccc45,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5n4CCN6CCOC6=O,0
Cc1cccc2c(c[nH]c12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5n4CC6CCOCC6,0
COCCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c5ccccc15,0
CSc1cccc2c(cn(CCN3CCOCC3)c12)C(=O)NC45CC6CC(CC(C6)C4)C5,0
CCCCCCCN1C(=O)C(N(C1=O)c2ccccc2)c3ccccc3,1
CCCCCN1C=C(C(=O)NC(C)c2ccccc2)C(=O)c3ccccc13,0
CCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
Fc1ccc(cc1)C(NC(=O)Nc2ccccc2)c3ccc(F)cc3,1
CCCCCN1C=C(NC(=O)c2cccc3ccccc23)C(=O)c4ccccc14,0
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ncccc15,1
COCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
Clc1ccc(cc1)C(NC(=O)Nc2ccc(Br)cc2)c3ccc(Cl)cc3,0
CCCCCCCN1C(=S)N(CCCCCCC)C(C1=O)(c2ccccc2)c3ccccc3,1
CCCCC\C=C\c1cc(F)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,0
CC(=O)NCc1ccc(O)cc1,1
